TeamID;ShortText;Promotion;InitialELO;League;Region;Name
1858;TSG;0;1862.34510483644;82;;1899 Hoffenheim W
1859;B04;0;1830.9827222902;82;;Bayer Leverkusen W
1870;SVW;0;1736.8628636499;82;;Werder Bremen W
1867;SCF;0;1728.87155047479;82;;SC Freiburg W
1866;FRA;0;1718.5780488908;82;;Frankfurt W
24133;FCU;0;1692.12788353326;82;;Union Berlin W
20501;RBL;0;1679.76823148096;82;;RB Leipzig W
1871;KOE;0;1648.90566423495;82;;FC Koln W
20498;HSV;0;1603.43920963337;82;;Hamburger SV W
1868;SGS;0;1593.69968517957;1034;;SGS Essen W
20487;FCN;0;1560.41599212488;82;;Nürnberg W
16849;FCC;0;1418.93926720895;1034;;Carl Zeiss Jena  W
1865;FFU;0;1417.70770207951;82;;FF USV Jena W
1861;MSV;0;1408.82060137366;82;;MSV Duisburg W
1314;UNT;0;1127.01451626215;83;Bayern;SpVgg Unterhaching
9332;FCN2;-50;1106.85695660902;83;Bayern;Nürnberg II
9330;FVI;0;1063.95507357806;83;Bayern;Illertissen
1635;S05;0;1039.00654575885;83;Bayern;FC Schweinfurt 05
12893;VIL;0;1010.42886476097;83;Bayern;Vilzing
4674;FCB2;-50;983.409573800018;83;Bayern;Bayern München II
9323;AUB;0;956.190311411753;83;Bayern;Aubstadt
9337;BUR;0;947.474654161999;83;Bayern;Wacker Burghausen
4262;EIC;0;943.603302789378;83;Bayern;Eichstätt
9326;BUC;0;938.583456233516;83;Bayern;Buchbach
14621;ANS;0;931.688638009939;83;Bayern;Ansbach
9325;BAY;0;909.845166880374;83;Bayern;Bayreuth
9328;SGF2;-50;906.636908913828;83;Bayern;Greuther Fürth II
9324;FCA2;-50;906.443433792759;83;Bayern;Augsburg II
12849;SAB;0;883.56228382018;83;Bayern;Schwaben Augsburg
9331;MEM;0;873.370781236332;83;Bayern;Memmingen
12762;SCEL;0;820.162085480006;83;Bayern;Eltersdorf
9336;VIKB;0;813.318744199557;83;Bayern;Viktoria Aschaffenburg
9335;TUE;0;800.287666637105;83;Bayern;Türkgücü-Ataspor
9333;RAI;0;787.445059852289;83;Bayern;Rain / Lech
9327;GAR;0;779.166765080715;83;Bayern;Garching
12780;HAN;0;759.521390641006;83;Bayern;Hankofen-Hailing
12757;BAM;0;758.242864499844;83;Bayern;Eintracht Bamberg
9334;SCHA;0;742.800291491181;83;Bayern;Schalding-Heining
9329;HEI;0;733.768679945931;83;Bayern;Heimstetten
9322;ROSA;0;725.177117833111;83;Bayern;1860 Rosenheim
12832;PIP;0;695.832461657284;83;Bayern;Pipinsried
1623;DRA;0;1108.94648906598;84;Nord;SV Drochtersen/Assel
